,S2AQ21A,S1Q2A,S1Q2B,S1Q2C1,S1Q2C3,S1Q2C4,S1Q2E,S1Q6A
0, ,1,1, , , , ,8
1,10,1,1, , , , ,8
2, ,1,1, , , , ,6
3,10,1,1, , , , ,8
4,10,1,1, , , , ,12
5,6,1,1, , , , ,14
6,10,1,1, , , ,3,10
7,6,1,1, , , , ,8
8,8,1,1, , , , ,12
9,8,1,1, , , ,13,8
10,5,1,1, , , , ,8
11,3,1,1, , , , ,10
12,4,1,1, , , , ,12
13,4,1,1, , , , ,10
14,1,1,1, , , ,5,8
15,4,1,1, , , , ,14
16,6,1,1, , , , ,13
17,1,1,2, , , , ,8
18,10,1,1, , , ,15,7
19,5,1,1, , , ,9,11
20,9,2, ,2,2,2, ,7
21,10,1,1, , , , ,11
22, ,1,1, , , , ,10
23, ,1,1, , , , ,8
24,9,1,1, , , ,6,8
25,10,1,1, , , , ,11
26, ,1,1, , , , ,7
27, ,1,1, , , , ,8
28,9,1,1, , , , ,8
29,6,1,1, , , , ,6
30,7,1,1, , , , ,10
31,8,1,1, , , , ,13
32,6,1,1, , , , ,11
33, ,1,1, , , , ,5
34,3,1,1, , , , ,12
35, ,1,1, , , , ,4
36, ,1,1, , , ,2,11
37,10,1,1, , , ,6,10
38, ,1,1, , , , ,10
39,8,1,1, , , ,0,12
40,5,1,1, , , , ,7
41,3,1,2, , , , ,8
42,5,1,1, , , , ,12
43,8,1,1, , , , ,11
44,1,1,1, , , , ,10
45,5,1,1, , , ,13,8
46,4,1,1, , , , ,3
47, ,1,1, , , ,12,8
48, ,1,2, , , , ,7
49,6,1,2, , , , ,12
50,3,1,1, , , , ,13
51,3,1,1, , , , ,12
52,1,1,1, , , , ,8
53,3,1,1, , , , ,8
54,4,1,1, , , , ,14
55, ,1,1, , , ,0,7
56,10,1,1, , , ,16,7
57, ,1,1, , , , ,10
58, ,1,1, , , , ,5
59,4,1,1, , , ,15,10
60,10,1,1, , , , ,8
61,10,1,1, , , , ,3
62,7,1,2, , , , ,14
63,1,1,1, , , , ,10
64,10,1,1, , , , ,12
65,10,1,2, , , , ,10
66, ,1,1, , , , ,12
67, ,1,2, , , , ,9
68,6,2, ,2,2,2, ,10
69, ,2, ,1,2,2, ,10
70,10,1,1, , , , ,12
71,5,1,2, , , , ,7
72,5,1,2, , , , ,10
73,5,1,1, , , ,9,7
74,10,1,2, , , , ,11
75, ,1,1, , , , ,5
76,9,1,1, , , , ,10
77, ,1,1, , , , ,8
78, ,1,1, , , , ,5
79,2,1,1, , , , ,13
80,5,1,1, , , , ,12
81, ,1,1, , , , ,10
82, ,1,2, , , , ,6
83, ,1,1, , , , ,8
84, ,1,2, , , , ,8
85,6,1,1, , , , ,12
86,4,1,1, , , ,13,12
87,8,1,1, , , , ,8
88,9,1,2, , , , ,2
89,2,1,1, , , , ,4
90,10,1,1, , , , ,7
91,9,1,1, , , , ,10
92,4,2, ,1,2,2, ,6
93,4,1,1, , , , ,10
94, ,1,2, , , , ,3
95,4,1,1, , , , ,12
96,5,1,1, , , , ,12
97,10,1,1, , , , ,6
98,6,1,1, , , , ,6
99,10,1,1, , , ,3,11
100,3,1,1, , , , ,7
101,5,1,1, , , , ,12
102,2,1,1, , , , ,10
103, ,1,1, , , , ,10
104,5,1,1, , , , ,10
105,9,1,1, , , ,7,10
106,6,1,1, , , , ,11
107,99,1,1, , , , ,12
108,3,1,1, , , , ,4
109,9,2, ,2,2,2, ,10
110,1,1,1, , , ,15,7
111,7,1,1, , , , ,8
112,10,1,1, , , ,10,11
113,2,1,1, , , , ,12
114,1,1,1, , , , ,10
115,5,1,1, , , ,7,12
116,4,1,1, , , , ,11
117,3,1,1, , , ,7,12
118,10,1,1, , , , ,11
119,7,1,1, , , , ,14
120,4,1,1, , , , ,10
121,6,1,1, , , , ,11
122, ,1,1, , , , ,8
123, ,1,1, , , , ,8
124,7,1,1, , , ,0,7
125,9,1,1, , , , ,11
126, ,1,1, , , , ,9
127,10,1,2, , , , ,7
128,1,1,1, , , , ,14
129,4,1,1, , , , ,12
130, ,1,1, , , , ,10
131, ,1,1, , , , ,2
132,4,1,1, , , ,6,12
133,4,1,2, , , , ,11
134,1,9, ,9,9,9, ,11
135,9,2, ,1,2,2, ,10
136,9,1,1, , , ,0,8
137,6,1,2, , , , ,7
138,2,1,1, , , ,0,2
139, ,1,1, , , , ,7
140, ,1,1, , , , ,14
141,5,1,1, , , , ,5
142,9,1,1, , , , ,10
143, ,1,1, , , , ,10
144,1,1,1, , , ,10,8
145,3,1,1, , , , ,7
146,9,1,1, , , , ,10
147,3,1,2, , , , ,11
148, ,1,1, , , , ,7
149,5,1,1, , , ,13,7
150,3,1,1, , , , ,12
151,6,1,1, , , , ,14
152, ,1,1, , , , ,10
153, ,1,1, , , , ,8
154,6,1,2, , , , ,7
155,6,1,1, , , , ,10
156, ,1,1, , , , ,8
157, ,9, ,9,9,9, ,12
158,4,1,1, , , ,13,10
159,10,1,2, , , , ,8
160,10,1,2, , , , ,4
161,10,1,1, , , , ,10
162,10,1,1, , , , ,12
163,1,1,1, , , ,16,13
164, ,2, ,2,2,2, ,7
165,10,1,1, , , , ,12
166, ,1,1, , , , ,8
167, ,1,2, , , , ,8
168,8,1,1, , , , ,12
169,4,1,1, , , , ,8
170,1,1,1, , , , ,11
171,10,1,1, , , ,17,12
172, ,1,2, , , , ,8
173,8,1,2, , , , ,8
174, ,1,1, , , , ,10
175,7,1,1, , , , ,11
176,8,1,1, , , , ,8
177,4,1,1, , , , ,8
178,3,1,1, , , , ,13
179,7,1,1, , , , ,8
180, ,1,2, , , , ,7
181,6,1,1, , , , ,14
182,9,1,1, , , ,13,10
183,7,1,2, , , , ,9
184,3,1,1, , , ,0,12
185, ,1,1, , , , ,7
186, ,1,1, , , , ,10
187,7,1,1, , , , ,8
188,7,1,1, , , , ,10
189, ,2, ,2,2,2, ,7
190, ,1,1, , , ,1,9
191,10,1,1, , , ,13,11
192,6,1,2, , , , ,3
193, ,1,2, , , , ,8
